event_id,y,m,d,h,discharge
5,1982,3,4,22,63.387769
5,1982,3,4,23,61.811563
5,1982,3,5,0,60.424382
5,1982,3,5,1,59.131339
5,1982,3,5,2,57.823329
5,1982,3,5,3,56.421592
5,1982,3,5,4,54.896344
5,1982,3,5,5,53.261072
5,1982,3,5,6,51.554340
5,1982,3,5,7,49.821477
5,1982,3,5,8,48.102451
5,1982,3,5,9,46.427364
5,1982,3,5,10,44.813946
6,1987,9,27,7,0.778466
6,1987,9,27,8,0.963277
6,1987,9,27,9,4.342015
6,1987,9,27,10,4.042700
6,1987,9,27,11,4.892368
6,1987,9,27,12,5.533995
6,1987,9,27,13,6.293350
6,1987,9,27,14,7.882464
6,1987,9,27,15,11.139773
6,1987,9,27,16,17.066899
6,1987,9,27,17,26.042583
6,1987,9,27,18,36.642963
6,1987,9,27,19,47.532283
6,1987,9,27,20,56.776691
6,1987,9,27,21,63.310702
6,1987,9,27,22,66.735038
6,1987,9,27,23,67.381819
6,1987,9,28,0,65.956903
6,1987,9,28,1,63.233457
6,1987,9,28,2,59.868603
6,1987,9,28,3,56.342117
6,1987,9,28,4,52.941324
6,1987,9,28,5,49.790033
6,1987,9,28,6,46.903656
6,1987,9,28,7,44.245556
6,1987,9,28,8,41.770247
6,1987,9,28,9,39.446131
6,1987,9,28,10,37.259387
6,1987,9,28,11,35.207607
6,1987,9,28,12,33.291851
6,1987,9,28,13,31.511523
6,1987,9,28,14,29.862626
6,1987,9,28,15,28.388741
6,1987,9,28,16,27.202171
6,1987,9,28,17,26.178581
6,1987,9,28,18,25.559932
6,1987,9,28,19,25.792981
6,1987,9,28,20,26.482918
6,1987,9,28,21,30.398797
6,1987,9,28,22,37.446805
6,1987,9,28,23,48.444324
6,1987,9,29,0,62.066780
6,1987,9,29,1,75.588928
6,1987,9,29,2,89.818924
6,1987,9,29,3,106.522899
6,1987,9,29,4,125.635745
6,1987,9,29,5,145.047716
6,1987,9,29,6,161.862609
6,1987,9,29,7,173.797808
6,1987,9,29,8,179.694337
6,1987,9,29,9,179.954017
6,1987,9,29,10,176.136934
6,1987,9,29,11,169.725698
6,1987,9,29,12,163.773637
6,1987,9,29,13,159.454418
6,1987,9,29,14,157.543037
6,1987,9,29,15,157.119788
6,1987,9,29,16,157.251273
6,1987,9,29,17,157.679423
6,1987,9,29,18,158.048733
6,1987,9,29,19,158.756531
6,1987,9,29,20,159.972103
6,1987,9,29,21,161.674449
6,1987,9,29,22,163.184894
6,1987,9,29,23,163.362135
6,1987,9,30,0,161.603846
6,1987,9,30,1,158.112923
6,1987,9,30,2,153.342445
6,1987,9,30,3,147.725514
6,1987,9,30,4,141.671107
6,1987,9,30,5,135.659171
6,1987,9,30,6,129.858865
6,1987,9,30,7,124.374032
6,1987,9,30,8,119.294031
6,1987,9,30,9,114.575289
6,1987,9,30,10,110.219388
6,1987,9,30,11,106.199496
6,1987,9,30,12,102.423991
6,1987,9,30,13,98.775216
6,1987,9,30,14,95.153166
6,1987,9,30,15,91.498667
6,1987,9,30,16,87.802500
6,1987,9,30,17,84.098001
6,1987,9,30,18,80.440272
6,1987,9,30,19,76.885515
6,1987,9,30,20,73.753449
6,1987,9,30,21,71.742077
6,1987,9,30,22,70.291714
6,1987,9,30,23,69.562422
6,1987,10,1,0,68.638337
6,1987,10,1,1,67.374439
6,1987,10,1,2,65.783379
6,1987,10,1,3,64.033953
6,1987,10,1,4,62.299483
6,1987,10,1,5,60.674081
6,1987,10,1,6,59.166339
6,1987,10,1,7,57.724433
6,1987,10,1,8,56.275666
